,country,alcohol_consumption,life_expectancy,population,gdp
111,Rwanda,0.7984845,65.47726999999999,8648248,1300.0
112,Saint Lucia,9.883463699999998,75.18542,168458,5400.0
113,Saint Vincent and the Grenadines,6.2459232,73.90679,117848,2900.0
114,Samoa,2.6083827,73.44813,176908,5600.0
115,Saudi Arabia,0.08872050000000001,75.72633,27019731,11800.0
116,Senegal,0.3016497,64.49203,11987121,1600.0
117,Serbia,9.5995581,74.69285,9396411,2200.0
118,Seychelles,4.134375299999999,73.83582,81541,7800.0
119,Sierra Leone,0.532323,45.98883,6005250,500.0
120,Singapore,1.4727603,82.87928000000001,4492150,23700.0
121,Slovakia,10.735180499999998,76.28676999999999,5439448,13300.0
122,Slovenia,10.593227699999998,80.39226,2010347,19000.0
123,Solomon Islands,1.2065988,68.72803,552438,1700.0
124,South Africa,6.7782462,60.4067,44187637,10700.0
125,Spain,9.8124873,82.6227,40397842,22000.0
126,Sri Lanka,2.129292,74.99951,20222240,3700.0
127,Sudan,0.3726261,63.04385,41236378,1900.0
128,Suriname,5.5539033,77.19422,439117,4000.0
129,Swaziland,1.6679453999999998,53.110980000000005,1136334,4900.0
130,Sweden,7.0621518,81.80135,9016596,26800.0
131,Switzerland,10.025416499999999,83.13744,7523934,32700.0
132,Tajikistan,0.3016497,68.58981,7320815,1000.0
133,Thailand,6.3523878,75.00789,64631595,7400.0
134,Togo,1.0114136999999999,58.428309999999996,5548702,1500.0
135,Tonga,1.1001341999999998,71.48373000000001,114689,2200.0
136,Tunisia,1.3130633999999999,76.07588,10175014,6900.0
137,Turkey,1.4195280000000001,75.38882,70413958,6700.0
138,Turkmenistan,2.1647802000000005,63.57362,5042920,5800.0
139,Tuvalu,0.9936696,67.98926,11810,1100.0
140,Uganda,0.9581814000000001,58.54476999999999,28195754,1400.0
141,Ukraine,8.659120800000002,70.85694000000001,46710816,5400.0
142,United Arab Emirates,2.7680796,76.63969,2602713,23200.0
143,Uruguay,6.565316999999999,77.43123,3431932,12800.0
144,Uzbekistan,2.3777093999999996,69.20962,27307134,1700.0
145,Vanuatu,0.8872049999999999,72.2857,208869,2900.0
146,Yemen,0.10646459999999999,64.25761999999999,21456188,800.0
147,Zambia,0.9759254999999999,58.4628,11502010,800.0
148,Zimbabwe,1.5259926000000001,58.726769999999995,12236805,1900.0
